고유번호,연도,연차,시작연차,종료연차,"주요 업무/프로젝트
예시: OO은행 차세대 시스템 구축",프로젝트 규모 (대략),"수행역할
예시: PM, 분석/설계,개발자, PL(사업관리)",활용 Skill set 1,활용 Skill set 2,활용 Skill set 3,활용 Skill set 4,"Industry/Domain
예시: 금융, 통신, 제조 등",커리어 형성에 큰 영향을 받은 업무나 시기,큰 영향을 받은 업무/시기에 대한 설명
EMP-525170,1997,1,1,3,대학교 학사시스템 구축,(중소형) 20억 이상~50억 미만,개발자,S-1,S-2,S-16,,유통/물류/서비스,TRUE,Tech 기반 엔지니어에서 분석설계개발 프로젝트에 참여함
EMP-525170,1998,2,1,3,대학교 학사시스템 구축,(중소형) 20억 이상~50억 미만,개발자,S-1,S-2,S-16,,유통/물류/서비스,TRUE,Tech 기반 엔지니어에서 분석설계개발 프로젝트에 참여함
EMP-525170,1999,3,1,3,대학교 학사시스템 구축,(중소형) 20억 이상~50억 미만,개발자,S-1,S-2,S-16,,유통/물류/서비스,TRUE,Tech 기반 엔지니어에서 분석설계개발 프로젝트에 참여함
EMP-525170,2000,4,4,5,항공사 성능 개선 프로젝트,(소형) 20억 미만,PM,S-2,S-16,,,유통/물류/서비스,FALSE,
EMP-525170,2001,5,4,5,항공사 성능 개선 프로젝트,(소형) 20억 미만,PM,S-2,S-16,,,유통/물류/서비스,FALSE,
EMP-525170,2002,6,6,7,금융기관 운영,(중소형) 20억 이상~50억 미만,운영자,S-13,S-16,S-18,,제2금융,FALSE,
EMP-525170,2003,7,7,8,자동차부품 SCM 구축,(중소형) 20억 이상~50억 미만,Application Architect,S-16,S-13,S-2,,(제조) 대외,FALSE,
EMP-525170,2004,8,7,8,자동차부품 SCM 구축,(중소형) 20억 이상~50억 미만,Application Architect,S-16,S-13,S-2,,(제조) 대외,FALSE,
EMP-525170,2005,9,9,10,공공기관 시스템 리뉴얼,(중소형) 20억 이상~50억 미만,"DBA, 사업관리",S-13,S-2,S-16,,공공,TRUE,공공 프로젝트 참여로 사업의 특성과 경험 축적
EMP-525170,2006,10,10,11,공공기관 취업포탈시스템 구축,(중소형) 20억 이상~50억 미만,업무 PL,S-30,,,,공공,FALSE,
EMP-525170,2007,11,10,11,공공기관 취업포탈시스템 구축,(중소형) 20억 이상~50억 미만,업무 PL,S-30,,,,공공,FALSE,
EMP-525170,2008,12,12,15,항공사 ITO 사업,(초대형) 500억,업무 PL,S-30,S-16,,,(제조) 대외,TRUE,항공기 제조 도메인 지식과 ITO 운영사업의 경험축적
EMP-525170,2009,13,12,15,항공사 ITO 사업,(초대형) 500억,업무 PL,S-30,S-16,,,(제조) 대외,TRUE,항공기 제조 도메인 지식과 ITO 운영사업의 경험축적
EMP-525170,2010,14,12,15,항공사 ITO 사업,(초대형) 500억,업무 PL,S-30,S-16,,,(제조) 대외,TRUE,항공기 제조 도메인 지식과 ITO 운영사업의 경험축적
EMP-525170,2011,15,12,15,항공사 ITO 사업,(초대형) 500억,업무 PL,S-30,S-16,,,(제조) 대외,TRUE,항공기 제조 도메인 지식과 ITO 운영사업의 경험축적
EMP-525170,2012,16,16,28,자동차제조 ITO 사업,(대형) 100억 이상 ~ 500억 미만,"사업관리, 업무PL, PM, 팀장",S-30,P-2a,S-23,,(제조) 대외,TRUE,자동차 제조 도메일 지식 획득과 제조 회사 ITO 업무 프로세스 및 경험 축척
EMP-525170,2013,17,16,28,자동차제조 ITO 사업,(대형) 100억 이상 ~ 500억 미만,"사업관리, 업무PL, PM, 팀장",S-30,P-2a,S-23,,(제조) 대외,TRUE,자동차 제조 도메일 지식 획득과 제조 회사 ITO 업무 프로세스 및 경험 축척
