학부,표준과정,사업별 교육체계,교육유형,학습유형,교육과정명,공개여부,학습시간,특화 직무 및 Skill set,추천 직무 및 Skill set,공통 필수 직무 및 Skill set,,URL
AIX,AI/Data Analytics,,mySUNI,VOD,[Guided Project] Btv 시청데이터를 활용한 추천 모델 개발,공개,32,AIX - AI/Data Dev.,AIX - G.AI Dev.; Manufacturing - 지능화,,,https://samsungu.ac.kr/lecture/7ffu7vs4
AIX,AI/Data Analytics,,mySUNI,VOD,[Guided Project] 공정 이미지 불량 탐지 모델 개발 with Tensorflow,공개,32,AIX - AI/Data Dev.,AIX - G.AI Dev.; Manufacturing - 지능화,,,https://academy.samsung.com/education/tohx49y1
AIX,AI/Data Analytics,,mySUNI,VOD,[Guided Project] SSL 기반 CCTV 이미지의 객체 탐지,공개,32,AIX - AI/Data Dev.,AIX - G.AI Dev.; Manufacturing - 지능화,,,https://academy.samsung.com/learning/6cfnnhbj
AIX,AI/Data Analytics,,mySUNI,VOD,[Guided Project] 기지국 장비 성능 통계의 EDA 및 불량 탐색,공개,32,AIX - AI/Data Dev.,AIX - G.AI Dev.; Manufacturing - 지능화,,,https://samsungu.ac.kr/education/tdw5e2u2
AIX,AI/Data Analytics,,mySUNI,VOD,[Guided Project] 통신 Core 장비에 대한 이상 징후 감지 with Tensorflow,공개,32,AIX - AI/Data Dev.,AIX - G.AI Dev.; Manufacturing - 지능화,,,https://academy.samsung.com/program/lq0gz6yg
AIX,Prompt Engineering,,사내과정,VOD,Generative AI 활용을 위한 Prompt Engineering,공개,1.5,AIX - G.AI Model Dev.,AIX - AI/Data Dev.; Architect - Application Archi.; Cloud/Infra - System/Network; Sales - Sales; Biz. Consulting - ESG/SHE; Domain Expert - Domain Expert; Software - Front-end; Manufacturing - Factory 기획/설계; PM - Application PM; Solution - ERP Dev.; Quality Mgmt - PMO,,,https://edu.samsung.com/program/rk8r89i1
AIX,AI/Data 이해,,사내과정,VOD,New Tech. Fundamental,공개,2,,,Biz. Consulting - ESG/SHE; Biz. Supporting - Biz. Supporting; AIX - AI/Data Dev.; Architect - Application Archi.; Cloud/Infra - System/Network; Sales - Sales; Domain Expert - Domain Expert; Software - Front-end; Manufacturing - Factory 기획/설계; PM - Application PM; 미부여 - 미부여; Solution - ERP Dev.; Quality Mgmt - PMO,,https://samsungu.ac.kr/education/b5032trt
AIX,AI/Data 이해,,mySUNI,VOD,Digital Literacy,공개,10,,,Biz. Consulting - ESG/SHE; Biz. Supporting - Biz. Supporting; AIX - AI/Data Dev.; Architect - Application Archi.; Cloud/Infra - System/Network; Sales - Sales; Domain Expert - Domain Expert; Software - Front-end; Manufacturing - Factory 기획/설계; PM - Application PM; 미부여 - 미부여; Solution - ERP Dev.; Quality Mgmt - PMO,,https://samsungu.ac.kr/learning/zv9t1ocg
AIX,AI/Data 이해,,mySUNI,VOD,CDS Ⅰ_데이터 처리와 시각화,공개,30,,,Biz. Consulting - ESG/SHE; Biz. Supporting - Biz. Supporting; AIX - AI/Data Dev.; Architect - Application Archi.; Cloud/Infra - System/Network; Sales - Sales; Domain Expert - Domain Expert; Software - Front-end; Manufacturing - Factory 기획/설계; PM - Application PM; 미부여 - 미부여; Solution - ERP Dev.; Quality Mgmt - PMO,,https://academy.samsung.com/lecture/bukjli4h
AIX,AI/Data 이해,,mySUNI,VOD,CDS Ⅱ_머신러닝 모델링,공개,20,,,Biz. Consulting - ESG/SHE; Biz. Supporting - Biz. Supporting; AIX - AI/Data Dev.; Architect - Application Archi.; Cloud/Infra - System/Network; Sales - Sales; Domain Expert - Domain Expert; Software - Front-end; Manufacturing - Factory 기획/설계; PM - Application PM; 미부여 - 미부여; Solution - ERP Dev.; Quality Mgmt - PMO,,https://samsungu.ac.kr/program/m3j81yd3
AIX,머신러닝/딥러닝 기초,,사내과정,오프라인집합,머신러닝 실무 기초,공개,7,AIX - AI/Data Dev.,AIX - G.AI Dev.; Manufacturing - 지능화,,,https://academy.samsung.com/education/64atky62
AIX,머신러닝/딥러닝 기초,,mySUNI,VOD,딥러닝 입문,공개,17.8,AIX - AI/Data Dev.,AIX - G.AI Dev.; Manufacturing - 지능화,,,https://samsungu.ac.kr/lecture/xo8ghc1x
AIX,머신러닝/딥러닝 기초,,사내과정,오프라인집합,딥러닝 실무 기초,공개,7,AIX - AI/Data Dev.,AIX - G.AI Dev.; Manufacturing - 지능화,,,https://samsungu.ac.kr/program/hxvyiasx
AIX,머신러닝/딥러닝 기초,,사내과정,오프라인집합,딥러닝 데이터 분석,공개,24,AIX - AI/Data Dev.,AIX - G.AI Dev.; Manufacturing - 지능화,,,https://samsungu.ac.kr/training/s7g9jbnx
AIX,AI/Data Analytics,,mySUNI,인증,[SKADA] Practitioner,공개,5,AIX - AI/Data Dev.,AIX - G.AI Dev.; Manufacturing - 지능화,,,https://learning.samsung.com/education/ovd9p6jd
