카테고리명,채널명,카드명,난이도,인정학습시간(시간),이수자수,평점,직무,Skill set,URL
AI,AI,[Guided Project] Btv 시청데이터를 활용한 추천 모델 개발,Intermediate,32,256,4.1,AIX,AI/Data Development,www.google.com/ai
AI,AI,[Guided Project] 석유 정제 공정 운전 데이터를 활용한 물성 예측 모델 개발,Intermediate,32,468,4.2,AIX,AI/Data Development,www.google.com/ai
AI,AI,[Guided Project] CCTV 이미지 분류 모델 개발,Intermediate,32,218,4.2,AIX,AI/Data Development,www.google.com/ai
AI,AI,[코세라] Machine Learning with Python (IBM),Basic,3.9,27,3.9,AIX,AI/Data Development,www.google.com/ai
AI,AI,[코드잇] 머신러닝 입문,Basic,25,648,4.4,AIX,AI/Data Development,www.google.com/ai
AI,AI,데이터 분석을 위한 Python 기초,Basic,7.5,"4,947",4.3,AIX,AI/Data Development,www.google.com/ai
AI,AI,[Guided Project] Wavve OTT 고객 이탈 예측 모델 개발,Intermediate,32,308,4,AIX,AI/Data Development,www.google.com/ai
AI,AI,[Guided Project] 기지국 장비 성능 통계의 EDA 및 불량 탐색,Intermediate,32,203,4.2,AIX,AI/Data Development,www.google.com/ai
AI,AI,[Guided Project] DRAM 내부 회로의 파형 예측 with Tensorflow,Intermediate,32,102,4.2,AIX,AI/Data Development,www.google.com/ai
AI,AI,CDS II_머신러닝 모델링,Basic,20,"2,318",4.1,AIX,AI/Data Development,www.google.com/ai
AI,AI,[SKADA인증] Practitioner Test 신청,Advanced,1,122,,AIX,AI/Data Development,www.google.com/ai
AI,AI,(심화) No Code CDS : 머신러닝 기초 with Orange3,Basic,5,41,4.2,AIX,AI/Data Development,www.google.com/ai
AI,AI,[AI최신기술동향]Universal Domain Adaptation,Advanced,0.5,691,,AIX,AI/Data Development,www.google.com/ai
AI,AI,[AI최신기술동향]Good isn't good enough,Advanced,0.4,511,,AIX,AI/Data Development,www.google.com/ai
AI,AI,[AI최신기술동향]A New Benchmark for Evaluation of Cross-Domain Few-Shot Learning,Advanced,0.4,634,,AIX,AI/Data Development,www.google.com/ai
AI,AI,AI서비스 기획/개발 기초 [기획],Intermediate,1.5,"1,368",3.4,Architect,AI Architect,www.google.com/ai
AI,AI,AI서비스 기획/개발 기초 [구현],Intermediate,2.4,"1,432",3.9,Architect,AI Architect,www.google.com/ai
AI,AI,"[AI최신기술동향]A Review on Generative Adversarial Networks: Algorithm, Theory, and Applications",Advanced,0.5,597,,AIX,AI/Data Development,www.google.com/ai
AI,AI,[AI최신기술동향]What's Hidden in a Randomly Weighted Neural Network,Advanced,0.5,716,,AIX,AI/Data Development,www.google.com/ai
AI,AI,[AI최신기술동향]Rethinking the Hyperparameters for Fine-tuning,Advanced,0.3,785,,AIX,AI/Data Development,www.google.com/ai
AI,AI,[AI최신기술동향]Direct Neural Architecture Search on Target Task and Hardware,Advanced,0.4,600,,AIX,AI/Data Development,www.google.com/ai
AI,AI,[코세라] Data Analysis with Python (IBM),Basic,1.8,314,2.9,AIX,AI/Data Development,www.google.com/ai
AI,AI,[코세라] Python for Data Science and AI (IBM),Basic,1.8,348,2.9,AIX,AI/Data Development,www.google.com/ai
AI,AI,[AI최신기술동향] Slice-based Learning,Advanced,0.5,809,3.4,AIX,AI/Data Development,www.google.com/ai
AI,AI,[AI최신기술동향] Dream to Control Learning Behaviors by Latent Imagination,Advanced,0.4,617,3.5,AIX,AI/Data Development,www.google.com/ai
AI,AI,[AI최신기술동향] Learning New Tricks From Old Dogs Multi-Source Transfer Learning ,Advanced,0.3,695,3.5,AIX,AI/Data Development,www.google.com/ai
AI,AI,[코세라] Sequence Models (Stanford Univ.),Basic,5.3,436,2.8,AIX,AI/Data Development,www.google.com/ai
AI,AI,[코세라] Machine Learning (Stanford University) ,Intermediate,19.4,"1,489",2.7,AIX,AI/Data Development,www.google.com/ai
AI,AI,[코세라] Machine Learning With Big Data (USCD),Basic,4.9,874,2.7,AIX,AI/Data Development,www.google.com/ai
AI,AI,[AI최신기술동향] Automated Relational Meta-Learning,Advanced,0.4,838,3.2,AIX,AI/Data Development,www.google.com/ai
AI,AI,[AI최신기술동향] Bi-level Optimization Back-propagation through Optimization,Advanced,0.2,654,,AIX,AI/Data Development,www.google.com/ai
AI,AI,[AI최신기술동향] Lagrangian Formalism for Back-propagation,Advanced,0.2,736,,AIX,AI/Data Development,www.google.com/ai
AI,AI,[AI최신기술동향] Deep Anomaly Detection with Outlier Exposure,Advanced,0.4,917,3.3,AIX,AI/Data Development,www.google.com/ai
AI,AI,[AI최신기술동향] Learning Finite State Representations of Recurrent Policy Networks,Advanced,0.6,"1,198",3.1,AIX,AI/Data Development,www.google.com/ai
AI,AI,[AI최신기술동향]Revisiting the Sibling Head in Object Detector,Advanced,0.5,"1,090",3.2,AIX,AI/Data Development,www.google.com/ai
AI,AI,[AI최신기술동향]Automatically Discovering and Learning New Visual Categories with Ranking Statistics,Advanced,0.6,"1,470",3.2,AIX,AI/Data Development,www.google.com/ai
AI,AI,[AI최신기술동향] Mogrifier LSTM,Advanced,0.1,886,3,AIX,AI/Data Development,www.google.com/ai
AI,AI,[AI최신기술동향]Adversarially Trained End-to-end Korean Singing Voice Synthesis System,Advanced,0.4,868,,AIX,AI/Data Development,www.google.com/ai
AI,AI,[AI최신기술동향]Learning to zoom a Saliency-based sampling layer for neural networks,Advanced,0.3,739,,AIX,AI/Data Development,www.google.com/ai
AI,AI,[AI최신기술동향]AutoML-Zero Evolving Machine Learning Algorithms From Scratch,Advanced,0.5,"1,089",,AIX,AI/Data Development,www.google.com/ai
AI,AI,[AI최신기술동향] DDSP Differentiable Digital Signal Processing,Advanced,0.3,"1,048",,AIX,AI/Data Development,www.google.com/ai
AI,AI,[Guided Project] 공정 이미지 불량 탐지 모델 개발 with Tensorflow,Intermediate,32,198,3.9,AIX,AI/Data Development,www.google.com/ai
AI,AI,[Guided Project] SSL 기반 CCTV 이미지의 객체 탐지,Expert,32,96,4.3,AIX,AI/Data Development,www.google.com/ai
AI,AI,[Guided Project] 통화품질 VOC의 불만 유형 분류,Intermediate,32,199,4,AIX,AI/Data Development,www.google.com/ai
AI,AI,[Guided Project] 통신 Core 장비에 대한 이상 징후 감지 with Tensorflow,Intermediate,32,176,4.1,AIX,AI/Data Development,www.google.com/ai
AI,AI,[Guided Project] 공정 이미지 불량 탐지 모델 개발 with PyTorch,Intermediate,32,105,4.2,AIX,AI/Data Development,www.google.com/ai
AI,AI,[Guided Project] DRAM 내부 회로의 파형 예측 with PyTorch,Intermediate,32,174,4.2,AIX,AI/Data Development,www.google.com/ai
AI,AI,[Guided Project] 통신 Core 장비에 대한 이상 징후 감지 with PyTorch,Intermediate,32,169,4.3,AIX,AI/Data Development,www.google.com/ai
AI,AI,[딥러닝 수학 #1] 미적분학,Advanced,0.8,915,4,AIX,AI/Data Development,www.google.com/ai
AI,AI,[딥러닝 수학 #2] 확률과 통계,Advanced,1.7,674,4.2,AIX,AI/Data Development,www.google.com/ai
AI,AI,[딥러닝 수학 #3] 정보이론,Advanced,0.7,627,4.1,AIX,AI/Data Development,www.google.com/ai
AI,AI,[딥러닝 수학 #4] 선형대수,Advanced,2.7,465,4.1,AIX,AI/Data Development,www.google.com/ai
AI,AI,[딥러닝 원리 #1] Deep Learning Intro,Advanced,0.9,834,4.2,AIX,AI/Data Development,www.google.com/ai
AI,AI,[딥러닝 원리 #2] Forward Propagation,Advanced,0.9,664,4.1,AIX,AI/Data Development,www.google.com/ai
AI,AI,[딥러닝 원리 #3] Backward Propagation,Advanced,1.2,562,4.1,AIX,AI/Data Development,www.google.com/ai
AI,AI,[딥러닝 원리 #4] Pytorch 실습,Advanced,1.6,512,4,AIX,AI/Data Development,www.google.com/ai
AI,AI,[딥러닝 모델 학습 및 평가 #1] Optimization,Advanced,1.3,462,4.2,AIX,AI/Data Development,www.google.com/ai
AI,AI,"[딥러닝 모델 학습 및 평가 #2] Activation Functions, Normalization, Regularization",Advanced,1.9,422,4.2,AIX,AI/Data Development,www.google.com/ai
AI,AI,[딥러닝 기초 모듈 #1] Convolutional Neural Network,Advanced,2,467,4.2,AIX,AI/Data Development,www.google.com/ai
AI,AI,[딥러닝 기초 모듈 #2] Reccurent Neural Network,Advanced,2,422,4.2,AIX,AI/Data Development,www.google.com/ai
